Depth,Age (peru SST) linear,"age (2 term polynomial, 580 res age)",UK37,SST (peru),C37total (peru),%N,d15N
274.5,5634.300,6048.929,0.746,20.790,16.33,,
275,5641.975498,6056.884,,,,0.00460974,5.028289023
276.5,5664.900,6080.703,0.750,20.900,13.3,,
277,5672.603369,6088.629,,,,0.002016948,4.419042844
277.5,5680.260337,6096.547,,,,0.002016948,4.419042844
278,5687.900,6104.458,0.756,21.080,11.16,,
278.5,5695.574273,6112.362,,,,,
279,5703.23124,6120.259,,,,0.005292331,5.641354639
280,5718.500,6136.031,0.762,21.260,12.4,,
281.5,5741.500,6159.635,0.755,21.060,10.25,0.006568852,4.415675227
283,5764.486983,6183.174,0.764,21.320,10.46,0.006649105,5.08540629
284.5,5787.500,6206.649,0.756,21.100,11.44,,
285,5795.114855,6214.460,,,,0.006718198,5.568528142
286,5810.400,6230.060,0.766,21.380,9.48,,
287,5825.700,6245.631,0.757,21.120,11.1,0.006789708,5.766687211
287.5,5833.400,6253.406,0.759,21.180,10.56,,
288,5841.100,6261.173,0.747,20.810,13.23,,
289,5856.400,6276.687,0.746,20.810,9.66,0.006056955,6.03207156
290.5,5879.300,6299.903,0.744,20.730,8.93,0.006219862,5.231286533
,,,,,,,
,,,,,,0.005548463,5.444632664
,,,,,,0.006106441,5.859233669
296.5,5971.200,6392.124,0.725,20.184,12.39713659,,
297.5,5986.500,6407.394,0.735,20.464,9.850173414,0.00415247,5.285451999
298,5994.196018,6415.018,0.713,19.815,8.901191819,,
298.5,6001.900,6422.634,0.736,20.297,17.69802584,,
299.5,6017.200,6437.847,0.748,20.840,11.04,0.00604088,5.94613241
300.5,6032.500,6453.030,0.741,20.660,10.33,,
301,6040.137825,6460.611,,,,0.005884835,6.023564584
302,6055.500,6475.752,0.734,20.440,14.9,0.005212155,6.254954279
303.5,6078.400,6498.408,0.727,20.230,12.03,,
305,6101.400,6521.001,0.745,20.770,9.88,0.005895209,5.847935639
306.5,6124.400,6543.528,0.730,20.310,16.86,,
307,6132.02144,6551.023,,,,0.005384536,5.807423328
308,6147.300,6565.991,0.745,20.757,18.33340141,,
309.5,6170.300,6588.390,0.738,20.560,18.76,,
310.5,6185.600,6603.286,0.731,20.340,16.07,0.00468047,6.171130036
312,6208.600,6625.577,0.728,20.250,20.47,,
313.5,6231.600,6647.803,0.735,20.470,16.4,0.004253119,6.257581987
315,6254.500,6669.965,0.740,20.630,17.46,0.005280895,5.950346461
316.5,6277.500,6692.061,0.734,20.430,19.4,,
317,6285.160796,6699.413,,,,0.00423221,5.981914165
318,6300.500,6714.094,0.738,20.550,20.6,,
319.5,6323.400,6736.062,0.739,20.590,18.87,0.00489656,5.980187429
321,6346.400,6757.965,0.733,20.410,14.08,0.004581651,6.15568844
322.5,6369.400,6779.803,0.741,20.640,14.94,,
323,6377.04441,6787.069,,,,0.004310224,6.288542755
324,6392.400,6801.578,0.727,20.240,15.28,,
325.5,6415.300,6823.287,0.742,20.690,16.25,0.006895985,5.969737039
327,6438.300,6844.932,0.746,20.790,13.84,0.006761692,5.510573491
328.5,6461.300,6866.512,0.745,20.750,12.7,,
329,6468.928025,6873.691,,,,0.004126345,5.560321961
330,6484.200,6888.028,0.738,20.560,14.97,,
